       Train Prediction  Actual Value
354            7.925532             9
355            8.802409             9
356            8.975172            10
357           10.155278            11
358           11.450378            12
359           12.611191            12
360           12.536013            13
361           13.372621            13
362           13.318725            14
363           14.297628            15
364           15.479989            14
365           14.335943            14
366           13.956533            14
367           13.792596            14
368           13.857231            14
369           13.938560            14
370           13.938560            14
371           13.938560            13
372           12.852224            13
373           12.658083            12
374           11.650314            11
375           10.544442            10
376            9.433099            10
377            9.374678            10
378            9.616679            10
379            9.823978             9
380            8.825631             8
381            7.612956             8
382            7.484782             7
383            6.613810             7
384            6.614685             8
385            7.810941             9
386            9.242146             9
387            9.388042             9
388            9.172238             9
389            8.984058             8
390            7.827745             8
391            7.659397             8
392            7.719995             7
393            6.771494             6
394            5.675324             6
395            5.566756             6
396            5.687668             5
397            4.818466             5
398            4.743208             5
399            4.777680             5
400            4.861718             5
401            4.935423             6
402            6.017536             7
403            7.324415             8
404            8.547028             9
405            9.624313            10
406           10.637444            10
407           10.484446            11
408           11.341679            12
409           12.459744            12
410           12.455276            13
411           13.372621            13
412           13.318725            13
413           13.163066            14
414           14.139265            14
415           14.236357            14
416           14.171552            15
417           15.147649            14
418           14.107206            14
419           13.878895            14
420           13.792596            13
421           12.781307            13
422           12.658083            13
423           12.711233            12
424           11.775450            10
425            9.629135            10
426            9.237790             7
427            6.557806             7
428            6.198486             7
429            6.405966             7
430            6.674006             7
431            6.917458             6
432            5.853595             6
433            5.713142             6
434            5.759736             6
435            5.852134             6
436            5.925494             6
437            5.925494             6
438            5.925494             6
439            5.925494             6
440            5.925494             6
441            5.925494             6
442            5.925494             6
443            5.925494             7
444            7.022405             7
445            7.172439             7
446            7.086981             7
447            6.985628             7
448            6.917458             6
449            5.853595             6
450            5.713142             6
451            5.759736             7
452            6.932816             7
453            7.172439             7
454            7.086981             7
455            6.985628             8
456            8.023181             9
457            9.341374             9
458            9.388042             9
459            9.172238             9
460            8.984058            10
461           10.021639            11
462           11.358378            10
463           10.278821            10
464            9.906693            10
465            9.777667            11
466           10.929240            10
467           10.080730            10
